id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2272651	18635841	1034	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/9.txt	/data/shared/text-xml/IDHMC-ocr/285/285017/1034/9.xml	2014-12-14 14:16:09	0.864	0.903	NULL
2272655	2325185	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/112.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/112.xml	2014-12-14 14:16:12	0.841	0.656	NULL
2272656	2325147	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/74.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/74.xml	2014-12-14 14:16:12	0.912	0.785	NULL
2272659	2345489	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/13.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/13.xml	2014-12-14 14:16:14	0.428	0.223	NULL
2272663	2271331	1034	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/7.txt	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/7.xml	2014-12-14 14:16:17	0.924	0.867	NULL
2272665	2325110	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/37.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/37.xml	2014-12-14 14:16:19	0.829	0.720	NULL
2272667	2325167	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/94.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/94.xml	2014-12-14 14:16:24	0.749	0.631	NULL
2272669	2350120	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/6.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/6.xml	2014-12-14 14:16:25	0.743	0.565	NULL
2272671	2325129	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/56.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/56.xml	2014-12-14 14:16:26	0.793	0.609	NULL
2272672	2350158	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/44.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/44.xml	2014-12-14 14:16:26	0.764	0.642	NULL
2272673	2179606	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/239.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/239.xml	2014-12-14 14:16:26	0.722	0.569	NULL
2272677	2325090	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/17.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/17.xml	2014-12-14 14:16:28	0.796	0.696	NULL
2272678	2350139	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/25.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/25.xml	2014-12-14 14:16:29	0.761	0.589	NULL
2272679	2271330	1034	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/6.txt	/data/shared/text-xml/IDHMC-ocr/280/279965/1034/6.xml	2014-12-14 14:16:32	0.853	0.810	NULL
2272680	2325078	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/5.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/5.xml	2014-12-14 14:16:33	0.869	0.759	NULL
2272681	2325204	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/131.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/131.xml	2014-12-14 14:16:33	0.422	0.260	NULL
2272683	2325146	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/73.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/73.xml	2014-12-14 14:16:34	0.891	0.776	NULL
2272689	2345488	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/12.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/12.xml	2014-12-14 14:16:38	0.598	0.413	NULL
